R (pc),Velocity dispersion (km/s),Uncertainty (km/s)
54.79452054794518,11.0,0.9782608695652151
95.89041095890406,9.77777777777778,1.0869565217391308
116.4383561643836,9.77777777777778,0.9782608695652151
143.8356164383561,10.444444444444445,1.0869565217391308
164.38356164383555,10.777777777777777,1.086956521739129
184.9315068493151,10.555555555555555,1.0869565217391308
212.3287671232876,10.444444444444445,0.9782608695652151
232.87671232876716,11.77777777777778,1.195652173913043
246.5753424657534,10.444444444444445,1.086956521739129
267.12328767123284,10.777777777777777,0.9782608695652186
287.6712328767123,10.333333333333332,1.086956521739129
308.2191780821917,8.555555555555557,0.9782608695652186
321.91780821917797,10.22222222222222,1.086956521739129
342.4657534246575,10.444444444444445,0.9782608695652151
363.01369863013696,9.999999999999996,0.9782608695652222
383.5616438356164,9.555555555555554,0.9782608695652186
404.10958904109583,11.999999999999996,1.304347826086957
424.6575342465754,8.333333333333332,0.7608695652173942
445.2054794520547,9.444444444444445,0.9782608695652169
472.60273972602744,9.77777777777778,0.9782608695652151
493.1506849315067,8.333333333333332,0.8695652173913047
513.6986301369864,9.555555555555554,0.8695652173913029
534.2465753424658,10.88888888888889,1.195652173913043
554.7945205479452,9.666666666666664,0.9782608695652186
582.1917808219177,9.11111111111111,0.7608695652173907
602.7397260273972,9.333333333333336,0.9782608695652169
630.1369863013697,11.11111111111111,1.1956521739130412
650.6849315068491,10.11111111111111,0.9782608695652186
671.2328767123288,10.11111111111111,0.9782608695652133
691.780821917808,9.999999999999996,0.9782608695652151
712.3287671232874,9.77777777777778,1.0869565217391326
739.7260273972602,11.222222222222218,1.1956521739130412
760.2739726027396,9.555555555555554,0.9782608695652186
773.972602739726,9.999999999999996,0.86956521739131
801.3698630136987,9.77777777777778,0.8695652173913011
828.7671232876712,9.666666666666664,0.8695652173913082
856.1643835616437,9.333333333333336,0.9782608695652169
890.4109589041093,10.88888888888889,1.195652173913043
917.808219178082,8.88888888888889,0.8695652173913064
945.2054794520548,9.0,0.8695652173913047
986.3013698630134,9.333333333333336,0.8695652173913082
1020.5479452054794,9.77777777777778,0.7608695652173907
1061.643835616438,8.666666666666668,0.7608695652173942
1116.4383561643835,9.555555555555554,0.9782608695652186
1178.082191780822,7.222222222222221,0.8695652173913082
1287.6712328767123,8.222222222222221,0.8695652173913011
1424.657534246575,7.333333333333336,0.7608695652173907
1691.780821917808,7.111111111111111,0.7608695652173907
