R (pc),Velocity dispersion (km/s),Uncertainty (km/s)
43.91891891891896,7.645645645645651,1.2222222222222214
81.08108108108104,6.184684684684683,1.0
101.35135135135124,10.064564564564565,1.555555555555559
125.0,10.942942942942947,1.6666666666666643
148.64864864864853,10.487987987987983,1.6666666666666643
168.91891891891896,7.478978978978986,1.1111111111111072
185.8108108108106,9.471471471471467,1.5555555555555571
199.32432432432415,10.132132132132137,1.5555555555555571
219.59459459459455,7.012012012012015,1.001501501501501
246.62162162162144,9.888888888888893,1.5555555555555571
266.8918918918919,6.990990990990994,1.1111111111111072
304.05405405405395,8.307807807807812,1.3348348348348313
344.5945945945946,8.623123123123122,1.3333333333333357
418.91891891891896,8.590090090090087,1.3348348348348367
736.4864864864865,9.00450450450451,1.5570570570570652
