R (pc),Velocity dispersion (km/s),Uncertainty (km/s)
61.64383561643808,8.319634703196348,1.4444444444444464
102.73972602739696,7.532724505327247,1.334834834834835
136.9863013698632,7.191780821917808,1.1111111111111125
164.3835616438355,7.63013698630137,1.2222222222222232
184.93150684931516,9.070015220700151,1.555555555555559
219.1780821917805,7.506849315068493,1.333333333333334
267.12328767123245,8.273972602739725,1.5555555555555571
294.52054794520564,9.267884322678844,1.666666666666666
328.76712328767144,7.815829528158295,1.3333333333333321
369.86301369862986,8.584474885844749,1.4444444444444429
438.3561643835619,10.45814307458143,2.1111111111111107
527.3972602739727,10.993911719939115,1.8873873873873865
636.9863013698632,9.636225266362253,2.0
753.4246575342463,9.721461187214611,1.6666666666666679
856.1643835616437,10.920852359208522,1.7792792792792795
993.1506849315068,11.11263318112633,2.1111111111111125
1780.8219178082195,11.715372907153723,3.11261261261261
