R (pc),Velocity dispersion (km/s),Uncertainty (km/s)
48.00689919509392,5.684170180145642,1.1111111111111072
99.5592180912227,5.484860099655037,0.8888888888888857
140.47527788424685,7.947489459563052,1.2222222222222285
168.83863549252584,5.848984285166722,0.8888888888888928
202.9513223457264,5.419701034879253,0.7777777777777715
222.7865082407053,8.428516673054816,1.3333333333333375
247.89191261019545,7.550785741663468,1.2222222222222285
277.4051360674588,6.786124952088919,1.1111111111111143
315.92564200843236,6.469911843618242,1.0
359.23725565350725,6.71138367190494,1.1111111111111143
392.9666538903795,5.837485626676873,0.9999999999999929
449.0226140283634,5.862399386738204,1.0000000000000142
523.380605596014,7.1176696052127255,1.1111111111111072
672.4798773476427,5.072824837102331,0.6666666666666714
1026.6385588348028,5.8968953622077365,1.0
