R (pc),Velocity dispersion (km/s),Uncertainty (km/s)
21.468926553672247,9.666666666666671,1.111111111111109
39.73634651600753,8.111111111111114,1.2222222222222143
53.8606403013182,6.44444444444445,1.0
61.20527306967983,7.777777777777786,1.0
74.0112994350282,7.666666666666664,0.8888888888888857
81.63841807909603,8.666666666666671,1.0000000000000018
91.05461393596984,7.555555555555557,0.8888888888888928
98.49340866290017,8.777777777777779,1.2222222222222214
112.61770244821092,7.111111111111114,0.8888888888888857
120.62146892655365,7.666666666666664,1.1111111111111143
130.8851224105461,5.555555555555557,0.7777777777777786
137.5706214689265,7.666666666666664,1.1111111111111072
143.4086629001883,10.77777777777778,1.333333333333334
148.02259887005647,10.333333333333336,1.2222222222222197
160.8286252354049,10.222222222222229,1.2222222222222285
170.90395480225988,8.333333333333336,1.1111111111111143
179.94350282485874,7.666666666666664,1.000000000000007
183.6158192090396,8.333333333333336,0.9999999999999929
201.1299435028249,7.666666666666664,1.1111111111111072
204.14312617702444,9.111111111111114,1.1111111111111143
212.80602636534843,8.888888888888893,1.1111111111111143
225.5178907721281,8.888888888888893,1.2222222222222143
241.713747645951,9.77777777777778,1.2222222222222285
258.0979284369116,10.44444444444445,1.3333333333333286
272.97551789077215,7.888888888888893,1.000000000000007
288.0414312617704,10.111111111111107,1.2222222222222285
301.88323917137484,8.777777777777779,1.1111111111111143
316.47834274952925,11.555555555555555,1.4444444444444482
346.04519774011305,6.666666666666664,1.0
370.6214689265538,7.666666666666664,1.1111111111111072
408.38041431261775,8.111111111111114,1.0
459.039548022599,8.333333333333336,1.1111111111111072
534.1807909604522,9.666666666666671,1.1111111111111072
648.0225988700566,10.333333333333336,1.1111111111111143
818.4557438794728,9.22222222222222,1.1111111111111054
1069.3973634651602,8.111111111111114,1.3333333333333357
