R (pc),Velocity dispersion (km/s),Uncertainty (km/s)
42.51700680272097,8.53665910808769,1.7777777777777786
83.33333333333337,8.740740740740748,1.8888888888888857
110.54421768707482,6.839758125472407,1.3333333333333286
136.05442176870747,6.272864701436134,1.2222222222222214
164.96598639455772,6.926681783824648,1.4444444444444358
190.47619047619037,6.359788359788368,1.4444444444444429
217.68707482993204,8.014361300075592,1.666666666666666
246.5986394557823,5.779289493575213,1.1111111111111143
290.8163265306123,5.981859410430843,1.3333333333333286
343.5374149659864,7.180650037792901,1.4444444444444429
426.87074829931976,4.921390778533642,2.2222222222222214
